,ID,UTTERANCE,RELATIONS,primary_relation,split
2396,2396,where was les mes set,movie.locations,movie.locations,train
2933,2933,house on over street,other,other,train
1778,1778,please show me movies about ice skating,movie.subjects,movie.subjects,train
358,358,what year was the hobbit relased,movie.initial_release_date,movie.initial_release_date,train
2318,2318,what did the movie finding nemo gross,movie.gross_revenue,movie.gross_revenue,train
742,742,can i see more info the movie life is beautiful,NO_REL,NO_REL,train
2699,2699,is there a sound of music two,NO_REL,NO_REL,train
2024,2024,information about will ferrell,NO_REL,NO_REL,train
3255,3255,find pictures of kristen stewart,person.picture,person.picture,train
1879,1879,i want to watch a comedy made in hungary,movie.country movie.genre,movie.country,train
143,143,list me the actors for top gun,movie.starring.actor,movie.starring.actor,train
652,652,show me the genre of the movie avatar,movie.genre,movie.genre,train
131,131,who is in movie,movie.starring.actor,movie.starring.actor,train
1376,1376,show movies charlie sheen,movie.starring.actor,movie.starring.actor,train
1998,1998,show me information on shelly long,NO_REL,NO_REL,train
2025,2025,look for will ferrell,NO_REL,NO_REL,train
1124,1124,i would like a list of paramount movies,movie.production_companies,movie.production_companies,train
523,523,search director for gilda,movie.directed_by,movie.directed_by,train
1853,1853,please show a list of recent movies rated pg,movie.rating,movie.rating,train
524,524,search gilda director,movie.directed_by,movie.directed_by,train
1363,1363,producer tom hanks movies,movie.produced_by,movie.produced_by,train
857,857,looking for a horror movie,movie.genre,movie.genre,train
676,676,what language is movie in,movie.language,movie.language,train
743,743,can you show me info on the movie life is beautiful please,NO_REL,NO_REL,train
1561,1561,movie with brad pitt,movie.starring.actor,movie.starring.actor,train
643,643,search for the genre step up in,movie.genre,movie.genre,train
1522,1522,please find all movies woody allen has directed,movie.directed_by,movie.directed_by,train
1147,1147,is parenthood a comedy,movie.genre,movie.genre,train
1634,1634,is there a movie about the zombie apocolypse,movie.subjects,movie.subjects,train
1083,1083,what movies came from japan,movie.country,movie.country,train
3299,3299,reviews for star wars four,movie.review,movie.review,train
3018,3018,sb love life,other,other,train
2262,2262,what is the rating for the avenger movie,movie.rating,movie.rating,train
1849,1849,i need to see a list of pg movies,movie.rating,movie.rating,train
406,406,when was the movie step up released,movie.initial_release_date,movie.initial_release_date,train
494,494,who was the director of the movie titanic,movie.directed_by,movie.directed_by,train
1200,1200,search for movies rated g,movie.rating,movie.rating,train
608,608,name of director for house at the end of the street,movie.directed_by,movie.directed_by,train
1184,1184,what is a list of g movies,movie.rating,movie.rating,train
2540,2540,what movies came out in september,movie.initial_release_date,movie.initial_release_date,train
1836,1836,show me information for the movie the campaign,NO_REL,NO_REL,train
349,349,when did lionsgate start making movies,movie.production_companies movie.initial_release_date,movie.production_companies,train
1283,1283,i would like to search for movies directed by stephen spielberg,movie.directed_by,movie.directed_by,train
1077,1077,did alfred hitchcock direct a comedy,movie.directed_by movie.genre,movie.directed_by,train
726,726,stephen king directed what movie,movie.directed_by,movie.directed_by,train
1833,1833,i want to see info on the movie the campaign,NO_REL,NO_REL,train
1451,1451,please find me some info on finding nemo,NO_REL,NO_REL,train
638,638,what is the genre for movie,movie.genre,movie.genre,train
2151,2151,who produced black swan,movie.produced_by,movie.produced_by,train
3150,3150,get me the name of the actor what was the dad in to kill a mockingbird,movie.starring.actor movie.starring.character,movie.starring.actor,train
1895,1895,hitchcock movie list,movie.directed_by,movie.directed_by,train
1742,1742,what movies has angelina jolie been in,movie.starring.actor,movie.starring.actor,train
2694,2694,show mission impossible in spanish please,movie.language,movie.language,train
1597,1597,show me all rated r movies,movie.rating,movie.rating,train
1037,1037,show me more details for the movie dirty dancing,NO_REL,NO_REL,train
241,241,what was the budget for top gun,movie.estimated_budget,movie.estimated_budget,train
909,909,can you show me movies spanish,movie.country movie.language,movie.country,train
731,731,movie ratings,movie.rating,movie.rating,train
718,718,can you show me names of some indian romantic movies,movie.country movie.language movie.genre,movie.country,train
522,522,list gilda director,movie.directed_by,movie.directed_by,train
2740,2740,what was the total gross for the movie bananas,movie.gross_revenue,movie.gross_revenue,train
611,611,get me the name of who directed the master,movie.directed_by,movie.directed_by,train
1671,1671,movies patrick swayze played in,movie.starring.actor,movie.starring.actor,train
882,882,movies from germany,movie.country,movie.country,train
1056,1056,life is beautiful,NO_REL,NO_REL,train
3090,3090,noisy,other,other,train
1588,1588,show me movies with a rating of r,movie.rating,movie.rating,train
210,210,what was the budget for avatar,movie.estimated_budget,movie.estimated_budget,train
352,352,the godfather came out when,movie.initial_release_date,movie.initial_release_date,train
1917,1917,show me high grossing movies,movie.gross_revenue gr.amount,movie.gross_revenue,train
2782,2782,what did the movie life is beautiful gross,movie.gross_revenue,movie.gross_revenue,train
827,827,looking for a drama movie,movie.genre,movie.genre,train
100,100,what was the actor who played esme in twilight,movie.starring.actor movie.starring.character,movie.starring.actor,train
2611,2611,show me movies about classic cars,movie.subjects,movie.subjects,train
1487,1487,michelle phifer movie list,movie.starring.actor,movie.starring.actor,train
952,952,tell me about movie,NO_REL,NO_REL,train
2765,2765,how much did harry potter and the sorcerer's stone make,movie.gross_revenue,movie.gross_revenue,train
441,441,release date for the watch,movie.initial_release_date,movie.initial_release_date,train
905,905,i want to see movies from spain,movie.country,movie.country,train
3215,3215,what movie is lee unkrich known for,movie.directed_by movie.star_rating,movie.directed_by,train
2505,2505,show ray stark movies,movie.directed_by,movie.directed_by,train
1040,1040,what films has robert redford directed,movie.directed_by,movie.directed_by,train
1747,1747,movies about basketball,movie.subjects,movie.subjects,train
2968,2968,display all the flags of the world,other,other,train
763,763,can you find me movies in russian,movie.language,movie.language,train
1955,1955,about in july,NO_REL,NO_REL,train
930,930,locate romantic movies for me,movie.genre,movie.genre,train
2448,2448,what genre of movie is omg oh my god,movie.genre,movie.genre,train
1822,1822,list of dax shepard movies,movie.starring.actor,movie.starring.actor,train
3052,3052,what does a pg rating mean,movie_other,movie_other,train
1503,1503,show me korean movies,movie.country movie.language,movie.country,train
1378,1378,find movies produced by albert ruddy,movie.produced_by,movie.produced_by,train
2026,2026,open a page about will ferrell,NO_REL,NO_REL,train
2906,2906,what made darla anderson become a producer,movie_other,movie_other,train
2092,2092,can you show me the name of the producer for cabin in the woods,movie.produced_by,movie.produced_by,train
2556,2556,what movies are their in portuguese,movie.language,movie.language,train
1385,1385,which all movies are produced by yash chopra,movie.produced_by,movie.produced_by,train
1038,1038,can you please show me info on the movie dirty dancing,NO_REL,NO_REL,train
2388,2388,where is the film budbrigeren from,movie.country,movie.country,train
2851,2851,search by box-office rating,movie_other,movie_other,train
2164,2164,look for information about paramount studios,NO_REL,NO_REL,train
445,445,when was expendables 2 released,movie.initial_release_date,movie.initial_release_date,train
2418,2418,when will possed be released,movie.initial_release_date,movie.initial_release_date,train
684,684,tell me what is the language of the movie hero,movie.language,movie.language,train
1775,1775,generate a list of movies about ice skating,movie.subjects,movie.subjects,train
1377,1377,funny pg thirteen movies,movie.rating movie.genre,movie.rating,train
3063,3063,what is the difference between an r rating and pg thirteen,movie_other,movie_other,train
2295,2295,tell me about the revenue generated by the movie avatar,movie.gross_revenue,movie.gross_revenue,train
2501,2501,show me the movies directed by r b choudary,movie.directed_by,movie.directed_by,train
2409,2409,what date does omg oh my god! come out,movie.initial_release_date,movie.initial_release_date,train
3272,3272,find rating information about the movie dredd,movie.rating movie.star_rating,movie.rating,train
1595,1595,search for r rated movies,movie.rating,movie.rating,train
2188,2188,who produced what to expect when you're expecting,movie.produced_by,movie.produced_by,train
1326,1326,look for french movies,movie.country movie.language,movie.country,train
3191,3191,adam sandler's best movie list,movie.starring.actor movie.star_rating,movie.starring.actor,train
2206,2206,who produced the movie,movie.produced_by,movie.produced_by,train
1414,1414,show me the movies that james cameron has produced,movie.produced_by,movie.produced_by,train
305,305,what is the origin of casa blanca,movie.country,movie.country,train
1977,1977,movie actors,NO_REL,NO_REL,train
2173,2173,what production company produced the movie avatar,movie.production_companies,movie.production_companies,train
2926,2926,classic cars,other,other,train
1202,1202,show only g rated movies,movie.rating,movie.rating,train
1342,1342,sort in all diving movies,movie.subjects,movie.subjects,train
2974,2974,flags,other,other,train
941,941,show only movies that are in french,movie.language,movie.language,train
306,306,origin of gone with the wind,movie.country,movie.country,train
3285,3285,reviews of movie,movie.review,movie.review,train
348,348,titanic release date,movie.initial_release_date,movie.initial_release_date,train
855,855,can you show me a list of scary movies,movie.genre,movie.genre,train
2348,2348,what is the name of the african american actress who played in ghost,movie.starring.actor actor.nationality,movie.starring.actor,train
1640,1640,i want to find zombie movies,movie.subjects,movie.subjects,train
693,693,what language is la havre in,movie.language,movie.language,train
1946,1946,what other movies has will smith directed,movie.directed_by,movie.directed_by,train
1552,1552,can you please list all movies with brad pitt,movie.starring.actor,movie.starring.actor,train
3013,3013,r info,movie_other,movie_other,train
2466,2466,i need to find names of some movies on religious issues,movie.subjects,movie.subjects,train
874,874,find movies filmed in canada,movie.country,movie.country,train
836,836,what are all movies made by united states,movie.country,movie.country,train
3250,3250,is this movie violent,movie.description,movie.description,train
892,892,show me italian movies,movie.country movie.language,movie.country,train
1216,1216,what movies can young children watch,movie.rating,movie.rating,train
3140,3140,who is in picture five,movie.starring.actor,movie.starring.actor,train
1831,1831,will you please show me info on the movie the campaign,NO_REL,NO_REL,train
1759,1759,bring up black swan production,NO_REL,NO_REL,train
2172,2172,who produced top gun,movie.produced_by,movie.produced_by,train
861,861,show me a list of scary movies,movie.genre,movie.genre,train
573,573,who else directs zombie movies,movie.directed_by movie.subjects,movie.directed_by,train
163,163,when is will ferrell's birthday,person.date_of_birth,person.date_of_birth,train
868,868,find movies from canada,movie.country,movie.country,train
732,732,richard lester produced what other movies,movie.produced_by,movie.produced_by,train
51,51,castmembers of apollo thirteen,movie.starring.actor,movie.starring.actor,train
3222,3222,give me a list of some famous movies in hindi language,movie.language movie.star_rating,movie.language,train
2668,2668,search for despicable me in italian,movie.language,movie.language,train
918,918,list spanish movies,movie.country movie.language,movie.country,train
3306,3306,show me the viewer ratings,movie.review,movie.review,train
2721,2721,who produced the antwon fisher stoy,movie.produced_by,movie.produced_by,train
37,37,show me the actor of the movie varsham,movie.starring.actor,movie.starring.actor,train
2145,2145,i would like more information about lionsgate,NO_REL,NO_REL,train
14,14,who was the lead man in taxi driver,movie.starring.actor,movie.starring.actor,train
2361,2361,budget for left behind,movie.estimated_budget,movie.estimated_budget,train
2756,2756,show me the revenue created by ghost rider spirit of vengeance,movie.gross_revenue,movie.gross_revenue,train
2126,2126,can you find the producer of heroine,movie.produced_by,movie.produced_by,train
1198,1198,please select the option to search for g rated movies,movie.rating,movie.rating,train
2469,2469,list release dates for all horror movies between 1995 and 2000,movie.genre movie.initial_release_date,movie.genre,train
2724,2724,who produced mirror by tarkovsky,movie.directed_by movie.produced_by,movie.directed_by,train
592,592,who directed the movie titanic,movie.directed_by,movie.directed_by,train
1167,1167,do you have any pg thirteen rated movies,movie.rating,movie.rating,train
1236,1236,i would like to select the option to search for movies produced by stephen spielberg,movie.produced_by,movie.produced_by,train
1263,1263,show films by steven spielberg,movie.directed_by,movie.directed_by,train
301,301,what country did shindler's list come from,movie.country,movie.country,train
2646,2646,search movies about the october revolution,movie.subjects,movie.subjects,train
166,166,how much did the dark night cost to produce,movie.estimated_budget,movie.estimated_budget,train
2370,2370,what was the budget for paranorman,movie.estimated_budget,movie.estimated_budget,train
1584,1584,look up r rated movies,movie.rating,movie.rating,train
493,493,director for titanic,movie.directed_by,movie.directed_by,train
1813,1813,tom cruise movies,movie.starring.actor,movie.starring.actor,train
2777,2777,how much money did iron man make,movie.gross_revenue,movie.gross_revenue,train
1939,1939,movies by tom hanks,movie.directed_by,movie.directed_by,train
965,965,time travel movies,movie.subjects,movie.subjects,train
3313,3313,where can i watch finding nemo,movie.showing,movie.showing,train
2876,2876,look for the actor that sings let me love you,movie_other,movie_other,train
26,26,i am looking for the actor that played in pretty women,movie.starring.actor,movie.starring.actor,train
681,681,language of hamlet,movie.language,movie.language,train
1162,1162,find movies by twentieth century fox,movie.production_companies,movie.production_companies,train
2983,2983,how many people live in japan,other,other,train
1676,1676,please give me a dutch movie listing,movie.country movie.language,movie.country,train
129,129,who is in movie,movie.starring.actor,movie.starring.actor,train
413,413,when avatar released,movie.initial_release_date,movie.initial_release_date,train
1782,1782,where can i see a list of movies produced in great britain,movie.country,movie.country,train
3260,3260,images of will ferrell,person.picture,person.picture,train
1756,1756,find any movies about horses,movie.subjects,movie.subjects,train
1027,1027,will you please show me info on the movie dirty dancing,NO_REL,NO_REL,train
1182,1182,i want to see a list of g rated movies,movie.rating,movie.rating,train
1635,1635,i want to see a list about zombie horror films,movie.genre movie.subjects,movie.genre,train
5,5,who was the female lead in resident evil,movie.starring.actor actor.gender,movie.starring.actor,train
2180,2180,find producer of the great debaters,movie.produced_by,movie.produced_by,train
2488,2488,show all british movies from two thousand one,movie.country movie.initial_release_date,movie.country,train
2408,2408,when the movie monster inc 2 will be released,movie.initial_release_date,movie.initial_release_date,train
2561,2561,show me movies from paris,movie.locations,movie.locations,train
1996,1996,i need to know more about the producer ray stark,NO_REL,NO_REL,train
226,226,show me the budget for the movie,movie.estimated_budget,movie.estimated_budget,train
2984,2984,how old do you have to be to see an r rated movie,movie_other,movie_other,train
2305,2305,profits made by titanic,movie.gross_revenue,movie.gross_revenue,train
3108,3108,what does person look like,other,other,train
220,220,what was the budget for the avengers,movie.estimated_budget,movie.estimated_budget,train
2738,2738,how much money did bananas make,movie.gross_revenue,movie.gross_revenue,train
2474,2474,show me the comedies for sept,movie.genre movie.initial_release_date,movie.genre,train
1126,1126,show all movies by paramount,movie.production_companies,movie.production_companies,train
1567,1567,what movies have brad pitt,movie.starring.actor,movie.starring.actor,train
741,741,what are the particulars for the movie life is beautiful,NO_REL,NO_REL,train
2599,2599,show me some movies about apartheid,movie.subjects,movie.subjects,train
975,975,what movies did quentin terrantino direct,movie.directed_by,movie.directed_by,train
3039,3039,universal how many producers work to put a movie production together,other,other,train
2640,2640,give me a list of movies that discuss healthy eating,movie.subjects,movie.subjects,train
2104,2104,info hitch producer,movie.produced_by,movie.produced_by,train
1257,1257,filmography for steven spielberg,movie.directed_by,movie.directed_by,train
846,846,english movie list,movie.country movie.language,movie.country,train
1297,1297,search chick flicks,movie.genre,movie.genre,train
3185,3185,show me martin scorcese's best movies,movie.directed_by movie.star_rating,movie.directed_by,train
2584,2584,what movies are safe for a young child to watch,movie.rating,movie.rating,train
1817,1817,find movies produced by george lucas,movie.produced_by,movie.produced_by,train
3270,3270,who produced,movie.produced_by,movie.produced_by,train
2781,2781,what was the revenue of kahani,movie.gross_revenue,movie.gross_revenue,train
2831,2831,how much did trouble with the curve make,movie.gross_revenue,movie.gross_revenue,train
2265,2265,list movie ratings for us movie looper,movie.country movie.rating,movie.country,train
